,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor,Manufacturer,Brand__Apple,Brand__Coolpad,Brand__Google,Brand__Huawei,Brand__Infinix,Brand__LG,Brand__Lenovo,Brand__Micromax,Brand__Motorola,Brand__Nokia,Brand__OnePlus,Brand__Oppo,Brand__Realme,Brand__Samsung,Brand__Tecno,Brand__Vivo,Brand__Xiaomi,logPrice
0,4000,6.53,1,128,1,1,1,0,0,2.0,1,0,0,256,23990,1,1,1,1,1,2,1,0,2,2,2.1,1,8.0,0,48.0,1,16.0,394,75.8,161.8,195.0,1,0,1,1,5,4,1080,2340,1,1,1,0,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.08539235583374
1,1960,4.7,1,32,1,0,1,0,1,1.0,1,1,0,0,27499,1,1,1,1,1,0,1,1,3,0,2.34,1,2.0,0,12.0,1,7.0,326,67.09,138.3,138.0,0,0,0,11,2,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.221904919357126
2,1960,4.7,1,32,1,0,1,0,1,1.0,1,1,0,0,19890,1,1,1,1,1,0,1,1,3,0,2.34,1,2.0,0,12.0,1,7.0,326,67.09,138.3,138.0,0,0,0,11,2,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.897972371848018
3,1715,4.7,1,16,1,0,1,0,1,1.0,1,1,0,0,41999,1,1,1,1,1,0,1,1,0,0,1.84,1,2.0,0,12.0,0,5.0,326,67.1,138.3,143.0,0,0,0,11,1,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.645401087458245
4,1715,4.7,1,16,1,0,1,0,1,1.0,1,1,0,0,23498,1,1,1,1,1,0,1,1,0,0,1.84,1,2.0,0,12.0,0,5.0,326,67.1,138.3,143.0,0,0,0,11,1,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.064670590127518
5,1715,4.7,1,32,1,0,1,0,1,1.0,1,1,0,0,41999,1,1,1,1,1,0,1,1,0,0,1.84,1,2.0,0,12.0,0,5.0,326,67.1,138.3,143.0,0,0,0,11,1,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.645401087458245
6,1715,4.7,1,32,1,0,1,0,1,1.0,1,1,0,0,23498,1,1,1,1,1,0,1,1,0,0,1.84,1,2.0,0,12.0,0,5.0,326,67.1,138.3,143.0,0,0,0,11,1,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.064670590127518
7,1715,4.7,1,64,1,0,1,0,1,1.0,1,1,0,0,41999,1,1,1,1,1,0,1,1,0,0,1.84,1,2.0,0,12.0,0,5.0,326,67.1,138.3,143.0,0,0,0,11,1,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.645401087458245
8,1715,4.7,1,64,1,0,1,0,1,1.0,1,1,0,0,23498,1,1,1,1,1,0,1,1,0,0,1.84,1,2.0,0,12.0,0,5.0,326,67.1,138.3,143.0,0,0,0,11,1,1,750,1334,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.064670590127518
9,5000,6.35,1,64,1,1,1,0,0,2.0,1,1,0,256,10990,1,1,1,1,1,2,1,0,2,2,2.0,1,4.0,1,13.0,1,8.0,268,76.8,159.4,190.5,0,0,1,8,5,3,720,1544,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.304741047397666
10,5000,6.35,1,64,1,1,1,0,0,2.0,1,1,0,256,9885,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,13.0,1,8.0,268,76.8,159.4,190.5,0,0,1,8,5,3,720,1544,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.198773735604718
11,5000,6.35,1,32,1,1,1,0,0,2.0,1,1,0,256,10990,1,1,1,1,1,2,1,0,2,2,2.0,1,4.0,1,13.0,1,8.0,268,76.8,159.4,190.5,0,0,1,8,5,3,720,1544,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.304741047397666
12,5000,6.35,1,32,1,1,1,0,0,2.0,1,1,0,256,9885,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,13.0,1,8.0,268,76.8,159.4,190.5,0,0,1,8,5,3,720,1544,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.198773735604718
13,5000,6.5,1,128,1,1,1,0,0,2.0,1,1,0,256,15990,1,1,1,1,1,1,1,0,2,3,2.0,1,4.0,1,48.0,0,16.0,270,75.6,163.6,195.0,0,0,1,11,5,4,720,1600,1,1,1,0,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.679718805828
14,5000,6.5,1,128,1,1,1,0,0,2.0,1,1,0,256,15990,1,1,1,1,1,1,1,0,2,3,2.0,1,4.0,1,48.0,0,16.0,270,75.6,163.6,195.0,0,0,1,11,5,4,720,1600,1,1,1,0,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.679718805828
15,5000,6.5,1,64,1,1,1,0,0,2.0,1,1,0,256,12990,1,1,1,1,1,2,1,0,2,3,2.0,1,4.0,1,12.0,1,8.0,270,75.6,163.6,195.0,0,0,1,11,5,4,720,1600,1,0,1,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.471935109664646
16,5000,6.5,1,64,1,1,1,0,0,2.0,1,1,0,256,12990,1,1,1,1,1,2,1,0,2,3,2.0,1,4.0,1,12.0,1,8.0,270,75.6,163.6,195.0,0,0,1,11,5,4,720,1600,1,0,1,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.471935109664646
17,4500,6.38,1,128,1,1,1,0,0,2.0,1,1,0,256,19990,1,1,1,1,1,1,1,0,2,3,2.0,1,8.0,1,48.0,1,32.0,404,75.19,159.25,186.7,1,0,1,9,5,4,1080,2340,1,1,1,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.902987427494446
18,4030,6.22,1,32,1,1,1,0,0,2.0,1,1,0,256,8490,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,13.0,1,8.0,270,75.1,155.1,163.5,0,0,1,4,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.046644279305394
19,4030,6.22,1,32,1,1,1,0,0,2.0,1,1,0,256,8490,1,1,1,1,1,2,1,0,2,2,2.0,1,2.0,1,13.0,1,8.0,270,75.1,155.1,163.5,0,0,1,4,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.046644279305394
20,4030,6.22,1,32,1,1,1,0,0,2.0,1,1,0,256,8490,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,13.0,1,8.0,270,75.1,155.1,163.5,0,0,1,4,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.046644279305394
21,4030,6.22,1,32,1,1,1,0,0,2.0,1,1,0,256,8490,1,1,1,1,1,2,1,0,2,2,2.0,1,2.0,1,13.0,1,8.0,270,75.1,155.1,163.5,0,0,1,4,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.046644279305394
22,2942,6.1,1,64,1,1,0,1,1,2.0,2,1,0,0,42900,1,1,1,1,1,0,1,1,1,0,2.49,1,3.0,0,12.0,1,7.0,324,75.7,150.9,194.0,1,0,0,11,4,1,1792,828,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.666627104916108
23,2942,6.1,1,64,1,1,0,1,1,2.0,2,1,0,0,51799,1,1,1,1,1,0,1,1,1,0,2.49,1,3.0,0,12.0,1,7.0,324,75.7,150.9,194.0,1,0,0,11,4,1,1792,828,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.855126123041925
24,2942,6.1,1,128,1,1,0,1,1,2.0,2,1,0,0,42900,1,1,1,1,1,0,1,1,1,0,2.49,1,3.0,0,12.0,1,7.0,324,75.7,150.9,194.0,1,0,0,11,4,1,1792,828,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.666627104916108
