,Brand,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor
0,Oppo,4000,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,No,No, 256,23990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.1,Yes,8,No,48,LED,16,394,75.8,161.8,195,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
1,Apple,1960,4.7,Yes,32,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,27499,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Quad,apple,2.34,Yes,2,No,12,LED,7,326,67.09,138.3,138,No,No,No,September,2016,1,750,1334,1,1,1,0,0,0,1,1,0,0
2,Apple,1960,4.7,Yes,32,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,19890,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Quad,apple,2.34,Yes,2,No,12,LED,7,326,67.09,138.3,138,No,No,No,September,2016,1,750,1334,1,1,1,0,0,0,1,1,0,0
3,Apple,1715,4.7,Yes,16,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,41999,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Dual,apple,1.84,Yes,2,No,12,Dual LED,5,326,67.1,138.3,143,No,No,No,September,2015,1,750,1334,1,1,1,0,0,0,1,1,0,0
4,Apple,1715,4.7,Yes,16,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,23498,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Dual,apple,1.84,Yes,2,No,12,Dual LED,5,326,67.1,138.3,143,No,No,No,September,2015,1,750,1334,1,1,1,0,0,0,1,1,0,0
5,Apple,1715,4.7,Yes,32,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,41999,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Dual,apple,1.84,Yes,2,No,12,Dual LED,5,326,67.1,138.3,143,No,No,No,September,2015,1,750,1334,1,1,1,0,0,0,1,1,0,0
6,Apple,1715,4.7,Yes,32,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,23498,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Dual,apple,1.84,Yes,2,No,12,Dual LED,5,326,67.1,138.3,143,No,No,No,September,2015,1,750,1334,1,1,1,0,0,0,1,1,0,0
7,Apple,1715,4.7,Yes,64,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,41999,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Dual,apple,1.84,Yes,2,No,12,Dual LED,5,326,67.1,138.3,143,No,No,No,September,2015,1,750,1334,1,1,1,0,0,0,1,1,0,0
8,Apple,1715,4.7,Yes,64,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,23498,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Dual,apple,1.84,Yes,2,No,12,Dual LED,5,326,67.1,138.3,143,No,No,No,September,2015,1,750,1334,1,1,1,0,0,0,1,1,0,0
9,Vivo,5000,6.35,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,10990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2,Yes,4,Yes,13,LED,8,268,76.8,159.4,190.5,No,No,Yes,May,2019,3,720,1544,1,1,1,0,0,0,0,1,0,0
